input_ids,token_type_ids,attention_mask,labels
"[     1    260  51214   1294   9329    434    260    280    260  46752
  28752  98245    806  54247  28333  95666    749    779    260  22227
    730  11085  73950    309    262  20893    316   1499    749  44708
  14798  14194 169340    260    412 209263 205373   8582 150771  30657
    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
"[     1   6124   5223    918  72063  41029    426   2544  56839    265
  64145 206924    262  40024 200645    316  32410  10475  33710   1272
  84025    265   2121 200276  23770    262    316  16326 121233  45721
    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 0 0 0 0 0 0 0]
"[     1    405  70311  17530    434  25669  15752  15318   4023 101972
  10198    260 105731  12978  11355    311  40966    325   8473    262
   2022   1432  26863   2794    316   8089    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[     1  80049 198933  14210  11723  15627    405  93760  27360  36143
    412    437    260    280    405   4274   3581  50928    437  52835
  38283    434    311  22984    280   8089    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[    1   405  5554   260 61102   389   314  1055 25163 20641   280   312
   311   314 67794   606   617 33724   990  1192     2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0]
"[     1    984  56122 144594  55867  53441  17860  75377  37168   3857
    457   2386   3498 102198  59884   1237    260   1776  54491   8807
  47666    402    260  40674   2224    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0]
"[     1    819    260  22458  33386    260  50661   1141  12439   8089
  37879    544 114363  15837 158483   2008    262    893    316  25726
  10901    434  18290   4947  43472   3726 163073    260 161813    280
    316   5900   5208    325    262    260   4982    375   1437  31300
   1916  17557    325   9329    434    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
"[     1   3777   4135    260  46207  40641    311    316  46114   1045
   9254    260  51967  13844  53296   5356    316 128719  18130  36678
    309  21683  36306    584  76909   3952  45508  77715    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0]
"[     1  19749   3225    584 128766 108209    316 147417    260    390
    260  79986    355  16104    397 111763  40526   1633    260  59323
   1078   5356 205115    405 181785   1009    260  41514  68136    437
      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0]
"[    1  1036 24817   260  3813   262 39968 19337 37642  2224   316  2840
 77574   325   275 17596   420 16526   280  9326   260 58013   260 14057
   484     2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[     1    636   4279    325    260   7809   2387 129293  75438    680
 119337   2739  12340   6149   1183  30785   1127   1390 197212    389
  10186 101248    818  15627  39150   1068   1803    260  76456   5169
    405   2429    958  27788   8685   1826    316   2022    638  15307
  14725 156770    309    402 148331   1141  19433    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
"[    1   405  5042 10767   658   662   316 35534  2387   316 17310 16132
  7746   262  1067  6111  1633   262   923   260   280 85411  1141  1826
   662 14492  2008  2629   261     2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1 123196   1349    260  33860  43402   1009    262    316   5900
    260  32977    316  15435  34789    434    262   2532  99079   2204
  33704   1012  16709 197502    309    260  16984    260  23473    260
  70269   1335    545   9317    262    260    309    375  19755  13008
    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
"[     1  85255 131536   1966  59637    834   2015    457  20169   1367
    865  90614   1610  23150    262   9130    507  64877   2416   2015
    457    260 132382  41669    260 116213   3230 114963  25466 125662
  53198  31087    262  32132    484      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0]
"[     1    314   3901   6231  38696    262  13692 101252    260    736
  13376   1633    260  90505   1078    260  84278    355    262  40024
   5250   2375    294  18774  54776   2098    260  57324    990   1159
   5654    262    584  27747    309 100741   1776  44881   8480    260
    390  47010    260  20426  54717 115652   4552   1008   2078 177381
   1331    755    260    265  51307   1078  13638  70355   7151  35051
   2779 133611    325  22743  40128  73982  48616    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1    367 176733    311  59504    260  14260   1593  58212    265
    910   9809  41669   8089    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[     1    405  51214    437   8047  22955    260  91310    918  11639
  11408   8663   5888    265  35602 232570    946   3836 187262    262
  26863  26796   6196    834   6292    389  20648    946 117077    316
  12892    265  49806  10187  10187    260    280    375  19755  43561
 176643  78391    311  11085    325  34789    434    316  45308    818
   1729  13383   5085  49856   3230    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]"
"[     1   5779   3934    457  42250    316  10104  10187    993   5223
    405  26778   1367    426  65255   1009   1826   1324  63884 166750
  10662    260 223437 169405 159483  74868    260    280    260  51214
   1401    426  65255   1009    260  16984    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 2 2 2 0 1 0
 0]"
"[     1  24743  30637  45617   5838    260  44200   3672    924  48597
   4059    260  46222    778    262    260 150382  20751   1008    260
    390  16371  20751  87123  98285    260 146401   6204 146160    457
  13008  34831    260  38863    280    316    260  16984    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0]"
"[     1   1310   5609   4110   6111  30930    389  29365  63299   1401
    260  62041    311  14976    833  33171   1626   1093 165585  15567
    280    611  19982  27222    686  20712    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0]
"[     1  21449  16960   9452    260  31881  13989   1668   3895  10447
  28709  14141 155467  89918  63036    898  71091  46614   7678    262
   1159   1009    924  23670    638    260  44233   7678    457  32070
  76036 113918  64699   2914    584 155779  10578    262   1497    260
 170518   4135    375   9761   3014  73761    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
"[    1  5779   553 65325   262   893   316 25726   260 64144  5193  1627
 26605   260  3813   262   893   260  4847 23449   617   375  2375 60423
  1593  6661   434   426  5880   903  2267   260 68520 25224 31110   280
   261     2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"[     1   1326  41723    260  64225    309    553 128546 109785   2085
    262    311   2381 166750    316    260  30976    325    260  31475
    894   4110    262  10605  54247  57381    260    508 117254   1503
  20712    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1   1581 152137    434 113062  82182    309    260  63206 103134
    434   1310  81950   5085   9407  16133    434  32777  41591  14895
   5250 115051    397  39731    260 104920    309  47979  15324   1420
 167053  68357    260    412   2078 110388    280   9648   1610    260
  43616    434  18956   1401  19962    309    662  96507    309    662
    316    260  43616    355  68798    617    559    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]"
"[     1   6873    508  14527  52675 109702 188055    262   1159   1009
   8807  47666  18500   7964 137907    260  72908  68754    390 103068
    260 147194    375  59323   1633  10767   5356    303      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[     1   3612    658 158196   4595    559  46077   2417    730    645
  17557   8089    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"[     1  44889  13756    260  63206  10286  17906  91617    323   4717
  38594 182972   1668  99448   1317  25795   1261 139087    375    375
  33729 100332  29333   7718    262    260    309   6420    991   3014
  92008    397   9915    260 123439   3441  59340 234125    260  90505
   1078    260  63206    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]","[0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
"[     1    868    645   5332    390    260  32057   3482    260 121106
    280  15339  47591    316  75371  23637  59210    868    991  18351
    355    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0]
"[     1    405   5554   5333  12898   1335   6014    262    893  18107
    260 188541  53862    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
"[     1   4147    260   6463   1025    260  29021    397  19708   5614
   1455 143774    918  36624   4239    311  17249  83302    309   5509
  64630    260  14057  33289    397  27362 192685    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
"[     1    636  86600    325  58060  41670    262    893  20893  18887
    309    426  11922  21633    260 168780  63227    309    316  80620
  21000  12663    316    260  16984    260    280  44708  55891  25958
    309    553  80620    686   2692 161216 110220  15031    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1]","[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
"[     1    405   2081   7380    638   7389   7541    412    260  28877
   4307   8047  38450   9377    894  54988    309  23375   1610  22694
   1123    262    893   2315    260  83054   1593    260 135811   4339
   1123  12623    311    260  23677   1009    260   7086   1359    262
    260    309    260  90546    325    662    316    260  55949   1826
    662    260  23947  16503    325 202942    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]"
"[     1   1310    447   9915   3014  16134    658    262    457  52520
   2454    993  49938    426  15324    357    260  13643  13844    311
 120485  16960    584  56740  14381    260    390  42222    658  24539
    260  16984    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0]
"[     1   1279 112125    375  59323   1633  10767  40192  54379   2554
   4478   1041  21683  40526  13641    316  38482   1965    262   1497
    584  37938    749    260 151278  10600  37462  10131   3398 118279
  31224  54190 165611  17941    894 153183    680  63649 211928  47815
    325 144132  14527  72083   1765  27337    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 2 2 0 0 0 0 0 0]"
"[     1  18820    325  23697    260  34335   1008  29307    658    260
  52805   2224   3468  45260   6892  26776  19435   1621  13249   8480
    311 113874    749   1390 120782    309  46124   3781    262    260
  15900  64166    355  19667    316   1109   1729   4250    260  29052
  15323   3284  68386   7826    260    390    375   1159   1105    260
  91187    390 126672    426  15324   5389  13136  77396   1078   5596
   1012    261      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1  29742  14794  61773   2008   1093  43547  67569  37193    990
    316    260 112745    325    262    260    412  19234    779   7579
    355    806  27678   7880  83468   1359    389 154976  13311    261
      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"[     1   2154  68271 123488   1621  99706   1965    262   1497  20893
  51945   5609   4307  84517 111582 117283    316  34232   2935 164280
    390    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 2 2 0 0]
"[     1   1052  11219   1401    260   7796    375    260    544    894
    260  95756    390 171644    316  10680  16229    390 153590 222645
  33661    390  54947    390  32148    280    262    260   3799   1390
  66530   2224  57594   6482    262  27597  42839    355    260    390
   4595  33725  72096    355    316  18259    325 164280    390    261
      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 2 2 2 0 0]"
"[     1   3836  20518  67154  11420    260 193202    296    262   3614
 179902    686    260 111939    280    316  26178  13267  57127    260
   4151   2532    260   3813    262   1067    260  62678  36143    309
    426  84735  13311    389    260  23677   1105  33386    638    275
   2416  19755   1455  71176    806  54044   1656  78391 102224 205035
    397  47979   4547  11407    947  18991 109484    309    484      2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"[     1 116993 134651  13112  71437  31019  48574    260    736   1499
   1237    606    260  74170    778  10159  37566  84408 137458  27154
   8491  68948    311  22899    261 183546  36885    262  10594    265
    309    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 0 0]
"[     1    636  50478    280   2386  13888  74062   5886   9329   1503
    260  21434   3762   4547    265   6126 118565    262    636    834
 156177    260    280   1909  46519    261      2]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 0 1 2 0 0 0 0 0 0 0 0 1 2 2 2 2 0 1 2 2 0 0 1 2 0 0]
